Jord,Sol,SolHS,Earth,sol_hs,,,,,,,,
MollPrimus,mentak,mentakhs,moll,mentakcoalition,mentakcoalitionhs,mentak_hs,mp,molpriums,,,,
Darien,yin,yinhs,yinbrotherhood,brotherhood,yinbrotherhoodhs,brotherhoodhs,yin_hs,daryen,draien,darin,,
Muaat,Muaat,muaaths,embers,embershs,muaat_hs,muat,muaa,,,,,
Nestphar,Nestphar,arborec,arborechs,plants,arborec_hs,nestfar,nstfr,,,,,
0.0.0,000,l1z1x,l1,l1hs,null,l1z1xhs,l1_hs,[0.0.0],,,,
Winnu,winnuhs,winnu_hs,winu,winn,,,,,,,,
Mordaiii,mordai,nekro,nekrovirus,virus,nekrohs,nekrovirushs,mordai2,nekro_hs,,,,
Druaa,drua,dru,,,,,,,,,,
Maaluuk,maluk,maaluk,maluuk,mlk,,,,,,,,
ArcPrime,arkprime,arc_prime,arcprim,,,,,,,,,
WrenTerra,renterra,wrentera,rentera,wren_terra,,,,,,,,
Lisisii,lisis2,lisistwo,lis2,lisii,,,,,,,,
Ragh,rag,,,,,,,,,,,
Jol,,,,,,,,,,,,
Nar,,,,,,,,,,,,
Quinarra,quinara,qinarra,qinara,,,,,,,,,
Trenlak,trnlk,,,,,,,,,,,
ArchonRen,archon_ren,arcon_ren,arconren,archonrn,,,,,,,,
ArchonTau,archon_tau,arcon_tau,arcontau,archonta,,,,,,,,
Retillion,retilion,retillon,retllion,retillio,,,,,,,,
Shalloq,shaloq,shallok,shalok,,,,,,,,,
Arretze,aretze,arrtze,artze,atz,,,,,,,,
Hercant,hrcnt,herkant,heircant,hercnt,hct,,,,,,,
Kamdorn,kmdrn,kmdorn,kamdrn,kdn,,,,,,,,
MR,Mecatol,MecatolRex,Rex,Mechatol,MechatolRex,Capital,Camelot,,,,,
Wellon,welon,welo,,,,,,,,,,
Vefutii,vefut,vefut2,vefoot,vefoot2,,,,,,,,
Thibah,thiba,thibh,tibah,tiba,,,,,,,,
Tarmann,tarman,tar_mann,tar_man,tm,,,,,,,,
Saudor,sau,saud,,,,,,,,,,
MeharXull,mx,mehurxull,meharxul,mehurxul,mehar_xull,,,,,,,
Quann,qua,quan,,,,,,,,,,
Lodor,lodo,ldr,,,,,,,,,,
Newalbion,new_albion,na,newalbio,nalbion,,,,,,,,
Starpoint,sp,starpoin,,,,,,,,,,
Tequran,tequ,tqn,,,,,,,,,,
Torkan,tork,tkn,,,,,,,,,,
Qucenn,quecn,quecn,quecnn,qcuen,qcuenn,qcn,,,,,,
Rarron,rrn,raron,,,,,,,,,,
Mellon,melon,mello,,,,,,,,,,
Zohbat,zbt,zobat,,,,,,,,,,
Lazar,lzr,laza,,,,,,,,,,
Sakulag,skg,saku,sakula,,,,,,,,,
DalBootha,db,dalbotha,dal_bootha,dalboota,,,,,,,,
Xxehan,xx,xehan,xxhan,,,,,,,,,
Corneeq,corneq,cnq,cornik,cnk,,,,,,,,
Resculon,rscln,resculn,rescolun,,,,,,,,,
Centauri,cntri,centari,,,,,,,,,,
Gral,grl,,,,,,,,,,,
Bereg,brg,berg,bere,,,,,,,,,
LirtaIV,lrta,lirta,lirta4,lirta_4,lirta_iv,,,,,,,
Arnor,arnr,arno,,,,,,,,,,
Lor,lr,,,,,,,,,,,
Arinam,arnm,arinm,ari,,,,,,,,,
Meer,mir,mer,,,,,,,,,,
Abyz,abiz,abz,,,,,,,,,,
Fria,fra,frya,fri,,,,,,,,,
